SUBSET,QUESTION,A,B,C,D,E,TRUE
B4B38PSI,Co je síťový firewall?,Hardware pro připojení k internetu,Software pro ochranu sítě,Protokol pro šifrování dat,Typ síťového kabelu,Zařízení pro zesílení signálu,B
B4B38PSI,Který port se standardně používá pro HTTP?,21,25,80,443,8080,C
B4B38PSI,Co je MAC adresa?,Adresa pro přístup k internetu,Unikátní identifikátor síťové karty,Typ síťového protokolu,Heslo pro Wi-Fi síť,Adresa webového serveru,B
B4B38PSI,Který z následujících je příkladem síťového operačního systému?,Windows 10,Linux,macOS,Windows Server,Android,D
B4B38PSI,Co je peering v kontextu počítačových sítí?,Sdílení souborů mezi uživateli,Přímé propojení dvou sítí,Používání veřejných IP adres,Šifrování dat při přenosu,Správa síťových zařízení,B
B4B38PSI,Který protokol se používá pro dynamické přidělování IP adres?,DNS,DHCP,FTP,SNMP,NTP,B
B4B38PSI,Kolik vrstev má ISO/OSI model?,5,6,7,8,9,C
B4B38PSI,Která vrstva OSI modelu je zodpovědná za směrování dat?,Fyzická,Spojová,Síťová,Transportní,Aplikační,C
B4B38PSI,Na které vrstvě OSI modelu pracuje protokol TCP?,Fyzická,Spojová,Síťová,Transportní,Aplikační,D
B4B38PSI,Která vrstva OSI modelu zajišťuje šifrování dat?,Fyzická,Spojová,Síťová,Prezentační,Aplikační,D
B4B38PSI,Co je úkolem fyzické vrstvy v OSI modelu?,Směrování dat,Řízení přístupu k médiu,Přenos bitů po fyzickém médiu,Zajištění spolehlivého přenosu,Správa síťových aplikací,C
B4B38PSI,Která vrstva OSI modelu je zodpovědná za detekci a opravu chyb?,Fyzická,Spojová,Síťová,Transportní,Relační,B
B4B38PSI,Na které vrstvě OSI modelu pracuje protokol IP?,Fyzická,Spojová,Síťová,Transportní,Aplikační,C
B4B38PSI,Která vrstva OSI modelu zajišťuje formátování dat pro aplikace?,Fyzická,Spojová,Síťová,Prezentační,Aplikační,D
B4B38PSI,Co je úkolem transportní vrstvy v OSI modelu?,Přenos bitů po fyzickém médiu,Směrování dat mezi sítěmi,Zajištění spolehlivého přenosu dat,Řízení přístupu k médiu,Správa síťových aplikací,C
B4B38PSI,Která vrstva OSI modelu je nejblíže uživateli?,Fyzická,Spojová,Síťová,Transportní,Aplikační,E
B4B38PSI,Který protokol pracuje na aplikační vrstvě OSI modelu?,TCP,IP,HTTP,Ethernet,ARP,C
B4B38PSI,Co je úkolem relační vrstvy v OSI modelu?,Správa dialogů mezi aplikacemi,Směrování dat,Řízení přístupu k médiu,Zajištění spolehlivého přenosu,Přenos bitů po fyzickém médiu,A
B4B38PSI,Který z následujících je příkladem fyzického média?,Koaxiální kabel,Protokol TCP,IP adresa,MAC adresa,Router,A
B4B38PSI,Co je bitová rychlost?,Počet bitů přenesených za sekundu,Počet chyb v přenosu,Délka kabelu,Šířka pásma,Latence sítě,A
B4B38PSI,Který typ kabelu se používá pro Ethernet sítě?,Koaxiální,Optický,Kroucený pár,Bezdrátový,Satelitní,C
B4B38PSI,Co je šum v kontextu fyzické vrstvy?,Nežádoucí signál rušící přenos,Typ kódování,Metoda přístupu k médiu,Protokol pro směrování,Typ topologie,A
B4B38PSI,Která vlastnost fyzické vrstvy ovlivňuje maximální vzdálenost přenosu?,Šířka pásma,Latence,Útlum,Bitová rychlost,Kódování,C
B4B38PSI,Co je multiplexing na fyzické vrstvě?,Sdílení média více signály,Šifrování dat,Komprese dat,Detekce chyb,Oprava chyb,A
B4B38PSI,Který typ modulace se používá v bezdrátových sítích?,AM,FM,PM,QAM,Všechny výše uvedené,E
B4B38PSI,Co je optický kabel?,Kabel používající světlo pro přenos dat,Kabel s vysokou odolností proti šumu,Kabel pro krátké vzdálenosti,Kabel pro bezdrátový přenos,Kabel s nízkou cenou,A
B4B38PSI,Který parametr udává zpoždění při přenosu dat?,Šířka pásma,Latence,Útlum,Bitová rychlost,Modulace,B
B4B38PSI,Co je koaxiální kabel?,Kabel s jedním vodičem,Kabel s dvěma vodiči,Kabel s optickým vláknem,Kabel pro bezdrátový přenos,Kabel s krouceným párem,B
B4B38PSI,Který typ fyzického média má největší šířku pásma?,Koaxiální kabel,Kroucený pár,Optický kabel,Bezdrátové připojení,Satelitní připojení,C
B4B38PSI,Co je úkolem zesilovače na fyzické vrstvě?,Zesílení signálu,Šifrování dat,Komprese dat,Detekce chyb,Oprava chyb,A
B4B38PSI,Která topologie je charakterizována přímým propojením všech uzlů?,Hvězda,Kruh,Sběrnice,Strom,Plně propojená síť,E
B4B38PSI,V jaké topologii je centrální uzel ke kterému jsou připojeny ostatní uzly?,Hvězda,Kruh,Sběrnice,Strom,Mřížka,A
B4B38PSI,Která topologie je náchylná k selhání celé sítě při výpadku jednoho kabelu?,Hvězda,Kruh,Sběrnice,Strom,Plně propojená síť,C
B4B38PSI,V jaké topologii data procházejí postupně všemi uzly?,Hvězda,Kruh,Sběrnice,Strom,Mřížka,B
B4B38PSI,Která topologie je kombinací hvězdy a sběrnice?,Hvězda,Kruh,Strom,Mřížka,Plně propojená síť,C
B4B38PSI,Co je výhodou topologie hvězda?,Nízká cena,Snadná správa,Vysoká odolnost proti selhání,Malý počet kabelů,Vysoká rychlost přenosu,B
B4B38PSI,Která topologie je typická pro bezdrátové sítě?,Hvězda,Kruh,Sběrnice,Strom,Ad-hoc,E
B4B38PSI,V jaké topologii je každý uzel připojen ke dvěma sousedním uzlům?,Hvězda,Kruh,Sběrnice,Strom,Mřížka,B
B4B38PSI,Která topologie vyžaduje nejvíce kabelů?,Hvězda,Kruh,Sběrnice,Strom,Plně propojená síť,E
B4B38PSI,Co je nevýhodou topologie sběrnice?,Vysoká cena,Složitá správa,Náchylnost k selhání při výpadku kabelu,Nízká rychlost přenosu,Velký počet kolizí,C
B4B38PSI,Která topologie je hierarchická?,Hvězda,Kruh,Sběrnice,Strom,Mřížka,D
B4B38PSI,V jaké topologii je centrální uzel ale uzly jsou propojeny i mezi sebou?,Hvězda,Kruh,Sběrnice,Strom,Hybridní,E
B4B38PSI,Která metoda řízení přístupu k médiu je použita v Ethernetu?,Token passing,CSMA/CD,CSMA/CA,Polling,FDMA,B
B4B38PSI,Co znamená zkratka CSMA/CD?,Carrier Sense Multiple Access with Collision Detection,Carrier Sense Multiple Access with Collision Avoidance,Carrier Sense Media Access with Collision Detection,Carrier Sense Media Access with Collision Avoidance,Carrier Sense Multiple Access with Collision Direction,A
B4B38PSI,Která metoda řízení přístupu k médiu je použita v Wi-Fi sítích?,Token passing,CSMA/CD,CSMA/CA,Polling,TDMA,C
B4B38PSI,Co je kolize v kontextu řízení přístupu k médiu?,Současný přenos dvou stanic,Ztráta dat při přenosu,Chyba v kódování,Přetížení sítě,Výpadek napájení,A
B4B38PSI,Která metoda řízení přístupu k médiu používá token?,CSMA/CD,CSMA/CA,Token passing,Polling,FDMA,C
B4B38PSI,Co je úkolem metody CSMA/CA?,Detekce kolizí,Zamezení kolizím,Oprava chyb,Komprese dat,Šifrování dat,B
B4B38PSI,Která metoda řízení přístupu k médiu je deterministická?,CSMA/CD,CSMA/CA,Token passing,ALOHA,Slotted ALOHA,C
B4B38PSI,Co je backoff algoritmus v CSMA/CD?,Algoritmus pro detekci kolizí,Algoritmus pro zamezení kolizím,Algoritmus pro opětovný pokus o přenos po kolizi,Algoritmus pro šifrování dat,Algoritmus pro kompresi dat,C
B4B38PSI,Která metoda řízení přístupu k médiu je použita v sítích Token Ring?,CSMA/CD,CSMA/CA,Token passing,Polling,TDMA,C
B4B38PSI,Co je úkolem metody polling?,Detekce kolizí,Zamezení kolizím,Centrální řízení přístupu stanic,Distribuce tokenů,Frekvenční multiplexování,C
B4B38PSI,Která metoda řízení přístupu k médiu je použita v mobilních sítích?,CSMA/CD,CSMA/CA,TDMA,FDMA,CDMA,E
B4B38PSI,Co je úkolem metody ALOHA?,Detekce kolizí,Zamezení kolizím,Náhodný přístup k médiu,Centrální řízení přístupu,Frekvenční multiplexování,C
B4B38PSI,Který typ kódování se používá pro přenos dat v Ethernetu?,Manchester,NRZ,RZ,AMI,B8ZS,A
B4B38PSI,Co je úkolem kódování na fyzické vrstvě?,Šifrování dat,Komprese dat,Převod dat do signálů pro přenos,Detekce chyb,Oprava chyb,C
B4B38PSI,Který typ kódování je samostatně synchronizující?,NRZ,RZ,Manchester,AMI,HDB3,C
B4B38PSI,Co je výhodou kódování Manchester?,Vysoká efektivita,Nízká spotřeba,Snadná detekce chyb,Synchronizace hodin,Všechny výše uvedené,D
B4B38PSI,Který typ kódování používá tři úrovně napětí?,NRZ,RZ,Manchester,AMI,B8ZS,D
B4B38PSI,Co je nevýhodou kódování NRZ?,Náchylnost k šumu,Potřeba synchronizace,Vysoká složitost,Nízká rychlost přenosu,Vysoká spotřeba energie,B
B4B38PSI,Který typ kódování se používá v optických sítích?,NRZ,RZ,Manchester,4B/5B,8B/10B,E
B4B38PSI,Co je úkolem kódování 4B/5B?,Detekce chyb,Oprava chyb,Zvýšení efektivity přenosu,Zajištění dostatečného počtu přechodů,Šifrování dat,D
B4B38PSI,Který typ kódování je použit v sítích Gigabit Ethernet?,NRZ,RZ,Manchester,8B/10B,64B/66B,D
B4B38PSI,Co je úkolem kódování AMI?,Detekce chyb,Oprava chyb,Zamezení stejnosměrné složky,Zvýšení rychlosti přenosu,Snížení spotřeby,C
B4B38PSI,Který typ kódování je použit v sítích ISDN?,NRZ,RZ,Manchester,AMI,HDB3,D
B4B38PSI,Co je úkolem kódování B8ZS?,Detekce chyb,Oprava chyb,Zamezení dlouhých sekvencí nul,Zvýšení rychlosti přenosu,Snížení latence,C
B4B38PSI,Který mechanismus zajišťuje spolehlivost v protokolu TCP?,Potvrzování příjmu dat,Detekce chyb,Oprava chyb,Řízení toku,Všechny výše uvedené,E
B4B38PSI,Co je úkolem kontrolního součtu?,Šifrování dat,Komprese dat,Detekce chyb,Oprava chyb,Zvýšení rychlosti přenosu,C
B4B38PSI,Který protokol na transportní vrstvě zajišťuje spolehlivý přenos?,UDP,TCP,IP,ICMP,ARP,B
B4B38PSI,Co je retransmise v kontextu spolehlivosti přenosu?,Opětovné odeslání ztracených dat,Šifrování dat,Komprese dat,Detekce chyb,Oprava chyb,A
B4B38PSI,Která metoda se používá pro detekci chyb v datech?,Paritní bit,CRC,Checksum,Hammingův kód,Všechny výše uvedené,E
B4B38PSI,Co je úkolem ARQ (Automatic Repeat Request)?,Detekce chyb,Oprava chyb,Žádost o opětovné odeslání dat,Šifrování dat,Komprese dat,C
B4B38PSI,Který typ ARQ se používá v protokolu TCP?,Stop-and-wait,Go-back-N,Selective repeat,Všechny výše uvedené,Žádný z výše uvedených,C
B4B38PSI,Co je úkolem FEC (Forward Error Correction)?,Detekce chyb,Oprava chyb bez retransmise,Žádost o opětovné odeslání dat,Šifrování dat,Komprese dat,B
B4B38PSI,Který kód se používá pro opravu chyb?,Paritní bit,CRC,Checksum,Hammingův kód,Všechny výše uvedené,D
B4B38PSI,Co je úkolem protokolu HDLC?,Řízení přístupu k médiu,Směrování dat,Zajištění spolehlivého přenosu na spojové vrstvě,Šifrování dat,Komprese dat,C
B4B38PSI,Který mechanismus v TCP zajišťuje že data nejsou ztracena?,Číslování sekvencí,Potvrzování příjmu,Řízení toku,Řízení kongesce,Všechny výše uvedené,E
B4B38PSI,Co je úkolem protokolu UDP?,Zajištění spolehlivého přenosu,Nezajištěný přenos datagramů,Směrování dat,Řízení přístupu k médiu,Šifrování dat,B
B4B38PSI,Který protokol je základním protokolem TCP/IP suite?,TCP,IP,UDP,ICMP,ARP,B
B4B38PSI,Co je úkolem protokolu IP?,Zajištění spolehlivého přenosu,Směrování datagramů,Řízení toku,Detekce chyb,Oprava chyb,B
B4B38PSI,Který protokol se používá pro překlad IP adres na MAC adresy?,DNS,DHCP,ARP,RARP,SNMP,C
B4B38PSI,Co je úkolem protokolu TCP?,Nezajištěný přenos datagramů,Zajištění spolehlivého přenosu dat,Směrování dat,Řízení přístupu k médiu,Šifrování dat,B
B4B38PSI,Který protokol se používá pro diagnostiku sítě?,TCP,UDP,IP,ICMP,SNMP,D
B4B38PSI,Co je úkolem protokolu DNS?,Překlad doménových jmen na IP adresy,Dynamické přidělování IP adres,Překlad IP adres na MAC adresy,Zajištění spolehlivého přenosu,Směrování dat,A
B4B38PSI,Který protokol se používá pro přenos souborů?,HTTP,FTP,SMTP,POP3,IMAP,B
B4B38PSI,Co je úkolem protokolu DHCP?,Překlad doménových jmen na IP adresy,Dynamické přidělování IP adres,Překlad IP adres na MAC adresy,Zajištění spolehlivého přenosu,Směrování dat,B
B4B38PSI,Který protokol se používá pro bezpečný přenos webových stránek?,HTTP,HTTPS,FTP,SSH,TELNET,B
B4B38PSI,Co je úkolem protokolu SNMP?,Správa síťových zařízení,Přenos e-mailů,Přenos souborů,Zajištění spolehlivého přenosu,Směrování dat,A
B4B38PSI,Který protokol se používá pro synchronizaci času v síti?,NTP,FTP,SMTP,POP3,IMAP,A
B4B38PSI,Co je úkolem protokolu OSPF?,Směrování v autonomních systémech,Směrování mezi autonomními systémy,Zajištění spolehlivého přenosu,Řízení přístupu k médiu,Šifrování dat,A
B4B38PSI,Který protokol se používá pro vzdálený přístup k počítači?,HTTP,FTP,SSH,SMTP,POP3,C
B4B38PSI,Co je úkolem protokolu BGP?,Směrování v autonomních systémech,Směrování mezi autonomními systémy,Zajištění spolehlivého přenosu,Řízení přístupu k médiu,Šifrování dat,B
B4B38PSI,Který protokol se používá pro přenos hlasu přes IP sítě?,VoIP,SIP,RTP,RTCP,Všechny výše uvedené,E
B4B38PSI,Co je úkolem protokolu IGMP?,Správa skupin pro multicast,Směrování dat,Zajištění spolehlivého přenosu,Řízení přístupu k médiu,Šifrování dat,A
B0B36DBS,"Co je entita v ER diagramu?","Objekt nebo koncept, který má samostatnou existenci.","Vztah mezi dvěma objekty.","Atribut popisující vlastnost entity.","Klíč, který jednoznačně identifikuje entitu.","Schéma databáze.","A"
B0B36DBS,"Co je charakteristické pro slabou entitu v ER diagramu?","Má vlastní primární klíč.","Její existence závisí na jiné entitě.","Nemůže mít žádné relace.","Všechny její atributy jsou vícehodnotové.","Je vždy v relaci M:N.","B"
B0B36DBS,"Jak se nazývá vztah mezi dvěma entitami, kde jedna instance první entity je spojena s více instancemi druhé entity?","Relace 1:1","Relace M:N","Relace 1:N","Rekurzivní relace","Ternární relace","C"
B0B36DBS,"Co je primární klíč v entitě?","Atribut, který může být nulový.","Atribut, který je cizím klíčem.","Sada atributů, které nejsou jedinečné.","Atribut nebo sada atributů jednoznačně identifikující instanci entity.","Atribut popisující entitu.","D"
B0B36DBS,"Jaký symbol se používá pro zobrazení relace v ER diagramu?","Obdélník","Kruh","Trojúhelník","Čára","Kosočtverec","E"
B0B36DBS,"Co určuje kardinalita vztahu v ER diagramu?","Kolik instancí jedné entity může být spojeno s instancemi druhé entity.","Počet atributů v relaci.","Typ vztahu mezi entitami.","Způsob propojení entit.","Název relace.","A"
B0B36DBS,"Jak se v ER diagramu označuje atribut?","Obdélníkem","Oválem","Kosočtvercem","Čárou","Trojúhelníkem","B"
B0B36DBS,"Co je generalizace v konceptuálním modelování?","Proces slučování entit do jedné tabulky.","Proces vytvoření hierarchie entit od obecnějších k specifickým.","Spojení dvou entit do relace.","Rozdělení entity na více instancí.","Definice atributů entity.","C"
B0B36DBS,"Jaký je rozdíl mezi 1:1 a 1:N relací?","V 1:1 může být více instancí na obou stranách.","V 1:N může být instance jedné entity spojena pouze s jednou instancí druhé.","V 1:1 je každá instance spojena s jednou instancí druhé entity.","V 1:N je relace vždy rekurzivní.","V 1:1 je povinná účast na obou stranách.","D"
B0B36DBS,"Co je vícehodnotový atribut v ER diagramu?","Atribut, který je primárním klíčem.","Atribut, který nemůže být nulový.","Atribut, který je cizím klíčem.","Atribut, který má jednu hodnotu pro instanci.","Atribut, který může mít více hodnot pro jednu instanci.","E"
B0B36DBS,"Jak se v ER diagramu označuje povinná účast v relaci?","Jednoduchou čarou","Dvojitou čarou","Tečkovanou čarou","Kroužkem","Šipkou","A"
B0B36DBS,"Co je agregace v konceptuálním modelování?","Proces vytvoření nové entity.","Proces seskupení relace a entit do vyššího celku.","Proces odstranění atributů.","Proces převodu relace na entitu.","Proces definice klíče.","B"
B0B36DBS,"Jaký je účel specializace v ER modelu?","Rozdělení entity na podentity podle specifických vlastností.","Sloučení více entit do jedné.","Vytvoření rekurzivní relace.","Přidání atributů do relace.","Odstranění duplicitních entit.","C"
B0B36DBS,"Co je slabý klíč v ER diagramu?","Klíč, který je vždy primární.","Klíč, který je jedinečný v rámci databáze.","Klíč, který jednoznačně identifikuje silnou entitu.","Klíč, který identifikuje slabou entitu v závislosti na jiné entitě.","Klíč, který nemůže být nulový.","D"
B0B36DBS,"Jak se v ER diagramu značí cizí klíč?","Není explicitně značen v ER diagramu.","Obdélníkem s tečkou.","Kosočtvercem s čarou.","Čarou s trojúhelníkem.","Oválem s hvězdičkou.","E"
B0B36DBS,"Co je účelem konceptuálního modelu?","Definovat fyzickou strukturu databáze.","Určit, jak budou data uložena na disku.","Poskytnout abstraktní pohled na data a jejich vztahy.","Vytvořit SQL dotazy.","Optimalizovat výkon databáze.","A"
B0B36DBS,"Jaký je rozdíl mezi unary a binary relací?","Unary relace je mezi dvěma entitami, binary je rekurzivní.","Binary relace zahrnuje jednu entitu, unary dvě.","Binary relace je mezi dvěma entitami, unary je rekurzivní.","Unary relace je vždy 1:N, binary je M:N.","Neexistuje mezi nimi rozdíl.","B"
B0B36DBS,"Co je ternární relace?","Relace mezi jednou entitou a dvěma atributy.","Relace mezi dvěma entitami a jedním atributem.","Relace zahrnující tři entity.","Relace, která je rekurzivní.","Relace s povinnou účastí.","C"
B0B36DBS,"Jaký je význam dědičnosti v ER diagramu?","Přidání nových atributů do entity.","Spojení dvou relací.","Přenos vlastností z nadřazené entity na podřízené entity.","Vytvoření cizího klíče.","Rozdělení relace na více částí.","D"
B0B36DBS,"Co je rekurzivní relace?","Relace mezi dvěma různými entitami.","Relace, kde entita není spojena sama se sebou.","Relace, kde je entita spojena sama se sebou.","Relace s povinnou účastí.","Relace mezi třemi entitami.","E"
B0B36DBS,"Jak se převede entita s primárním klíčem do relačního schématu?","Vytvoří se tabulka s primárním klíčem jako klíčovým atributem.","Vytvoří se tabulka bez primárního klíče.","Vytvoří se tabulka s cizím klíčem.","Entita se nepřevádí do tabulky.","Vytvoří se více tabulek pro jednu entitu.","A"
B0B36DBS,"Co je funkční závislost v databázích?","Když hodnota atributu nezávisí na jiném atributu.","Když pro každou hodnotu atributu X existuje jednoznačná hodnota atributu Y.","Když dva atributy mají stejné hodnoty.","Když atribut může mít více hodnot.","Když atribut je cizím klíčem.","B"
B0B36DBS,"Co je první normální forma (1NF)?","Relace bez redundantních dat.","Relace, kde všechny atributy jsou atomické.","Relace bez částečných závislostí.","Relace, kde neklíčové atributy závisí na primárním klíči.","Relace bez tranzitivních závislostí.","C"
B0B36DBS,"Jaký je účel cizího klíče v relačním schématu?","Jednoznačně identifikovat řádek v tabulce.","Zajistit integritu dat mezi dvěma tabulkami.","Zabránit duplicitním záznamům.","Rozdělit tabulku na více částí.","Optimalizovat výkon dotazů.","D"
B0B36DBS,"Co je třetí normální forma (3NF)?","Relace, kde všechny atributy jsou atomické.","Relace bez redundantních dat.","Relace, kde neklíčové atributy závisí pouze na primárním klíči.","Relace bez částečných závislostí.","Relace, kde neklíčové atributy nejsou tranzitivně závislé na primárním klíči.","E"
B0B36DBS,"Co je částečná závislost v normalizaci?","Závislost atributu na celém primárním klíči.","Závislost atributu na části složeného primárního klíče.","Závislost mezi dvěma neklíčovými atributy.","Závislost primárního klíče na cizím klíči.","Závislost atributu na indexu.","A"
B0B36DBS,"Jak se převádí relace M:N do relačního schématu?","Vytvoří se jedna tabulka s primárním klíčem.","Vytvoří se nová tabulka s cizími klíči z obou entit.","Relace M:N se nepřevádí.","Přidá se cizí klíč do jedné z tabulek.","Vytvoří se tabulka bez klíčů.","B"
B0B36DBS,"Co je tranzitivní závislost?","Závislost atributu na celém primárním klíči.","Závislost atributu na části primárního klíče.","Závislost neklíčového atributu na jiném neklíčovém atributu.","Závislost primárního klíče na cizím klíči.","Závislost atributu na indexu.","C"
B0B36DBS,"Co je Boyce-Coddova normální forma (BCNF)?","Relace bez částečných závislostí.","Relace, kde každý atribut je atomický.","Relace bez tranzitivních závislostí.","Relace, kde každý determinant je kandidátním klíčem.","Relace bez cizích klíčů.","D"
B0B36DBS,"Jaký je rozdíl mezi 2NF a 3NF?","2NF odstraňuje tranzitivní závislosti, 3NF částečné.","2NF vyžaduje atomické atributy, 3NF ne.","3NF odstraňuje tranzitivní závislosti, 2NF částečné.","2NF zahrnuje cizí klíče, 3NF ne.","3NF je méně přísná než 2NF.","E"
B0B36DBS,"Co je kandidátní klíč?","Klíč, který jednoznačně identifikuje řádek v tabulce.","Klíč, který je cizím klíčem.","Klíč, který může být nulový.","Klíč, který není primární.","Klíč, který je složený.","A"
B0B36DBS,"Jaký je účel normalizace?","Zvýšit redundanci dat.","Snížit redundanci a zajistit konzistenci dat.","Zrychlit dotazy.","Vytvořit více tabulek bez klíčů.","Zjednodušit fyzické uložení dat.","B"
B0B36DBS,"Co je denormalizace?","Proces odstranění všech závislostí.","Proces záměrného přidání redundancy pro výkon.","Proces převodu relací na entity.","Proces sloučení tabulek do jedné.","Proces odstranění cizích klíčů.","C"
B0B36DBS,"Jak se v relačním schématu značí primární klíč?","Pomocí cizího klíče.","Pomocí indexu.","Pomocí tečkované čáry.","Je podtržen v definici tabulky.","Není nijak označen.","D"
B0B36DBS,"Co je integrita referencí?","Zajištění, že primární klíč je jedinečný.","Zajištění, že cizí klíč odkazuje na existující hodnotu.","Zajištění, že atributy jsou atomické.","Zajištění, že tabulka nemá duplicity.","Zajištění, že indexy jsou unikátní.","E"
B0B36DBS,"Jaký je výsledek převodu 1:1 relace do relačního schématu?","Vytvoří se dvě tabulky s cizími klíči.","Cizí klíč se přidá do jedné z tabulek.","Vytvoří se nová tabulka pro relaci.","Relace se nepřevádí.","Tabulky se sloučí do jedné.","A"
B0B36DBS,"Co je složený klíč?","Klíč, který je cizí.","Klíč tvořený více atributy.","Klíč, který je automaticky generovaný.","Klíč, který nemůže být nulový.","Klíč, který je jediným atributem tabulky.","B"
B0B36DBS,"Jaký je rozdíl mezi primárním a cizím klíčem?","Primární klíč odkazuje na jinou tabulku, cizí ne.","Cizí klíč jednoznačně identifikuje řádek, primární ne.","Primární klíč identifikuje řádek, cizí klíč odkazuje na primární klíč jiné tabulky.","Primární klíč může být nulový, cizí ne.","Cizí klíč je vždy složený.","C"
B0B36DBS,"Co je účelem dekompozice v normalizaci?","Rozdělit tabulku na menší části bez ztráty informací.","Sloučit více tabulek do jedné.","Přidat redundanci do tabulky.","Odstranit primární klíče.","Vytvořit nové cizí klíče.","D"
B0B36DBS,"Co je atomický atribut?","Atribut, který může mít více hodnot.","Atribut, který je cizím klíčem.","Atribut, který je složený.","Atribut, který je primárním klíčem.","Atribut, který je nedělitelný na menší části.","E"
B0B36DBS,"Jaký příkaz SQL se používá pro výběr dat z tabulky?","SELECT","INSERT","UPDATE","DELETE","CREATE","A"
B0B36DBS,"Co dělá příkaz JOIN v SQL?","Vloží nový řádek do tabulky.","Spojí řádky z více tabulek na základě podmínky.","Smaže řádky z tabulky.","Vytvoří novou tabulku.","Změní strukturu tabulky.","B"
B0B36DBS,"Jaký je rozdíl mezi WHERE a HAVING v SQL?","WHERE filtruje skupiny, HAVING řádky.","HAVING se používá s agregacemi, WHERE ne.","WHERE se používá s GROUP BY, HAVING ne.","HAVING filtruje jednotlivé řádky, WHERE skupiny.","Neexistuje mezi nimi rozdíl.","C"
B0B36DBS,"Co vrací příkaz LEFT JOIN?","Všechny řádky z pravé tabulky a odpovídající z levé.","Všechny řádky z obou tabulek.","Všechny řádky z levé tabulky a odpovídající z pravé.","Pouze řádky, které mají shodu v obou tabulkách.","Žádné řádky, pokud není shoda.","D"
B0B36DBS,"Jaký příkaz se používá pro vložení dat do tabulky?","SELECT","UPDATE","DELETE","CREATE","INSERT","E"
B0B36DBS,"Co je poddotaz v SQL?","Dotaz, který vytvoří novou tabulku.","Dotaz vnořený do jiného dotazu.","Dotaz pro smazání dat.","Dotaz pro změnu struktury tabulky.","Dotaz bez podmínky.","A"
B0B36DBS,"Jaký je účel příkazu GROUP BY?","Filtrování řádků podle podmínky.","Seskupení řádků podle hodnot atributu a použití agregací.","Spojení dvou tabulek.","Seřazení výsledků dotazu.","Vytvoření indexu.","B"
B0B36DBS,"Co dělá příkaz ORDER BY v SQL?","Seskupuje řádky podle atributu.","Spojuje tabulky.","Seřadí výsledky dotazu podle zadaného sloupce.","Filtruje řádky podle podmínky.","Vkládá nové řádky.","C"
B0B36DBS,"Jaký je rozdíl mezi INNER JOIN a OUTER JOIN?","INNER JOIN vrací všechny řádky, OUTER JOIN jen shodné.","OUTER JOIN vrací jen shodné řádky, INNER JOIN všechny.","INNER JOIN vrací jen shodné řádky, OUTER JOIN i neodpovídající.","INNER JOIN je rychlejší, OUTER JOIN ne.","Neexistuje mezi nimi rozdíl.","D"
B0B36DBS,"Co je index v databázích?","Struktura pro jednoznačnou identifikaci řádků.","Tabulka s cizími klíči.","Struktura pro urychlení vyhledávání dat.","Seskupení řádků podle atributu.","Fyzické uložení dat na disku.","E"
B0B36DBS,"Jaký příkaz smaže řádky z tabulky?","DELETE","INSERT","UPDATE","SELECT","DROP","A"
B0B36DBS,"Co je agregační funkce v SQL?","Funkce pro spojování tabulek.","Funkce, která vrací jednu hodnotu na základě více řádků.","Funkce pro filtrování řádků.","Funkce pro seřazení dat.","Funkce pro změnu struktury tabulky.","B"
B0B36DBS,"Jaký je výsledek příkazu SELECT DISTINCT?","Vrací všechny řádky včetně duplicit.","Vrací pouze unikátní řádky.","Vrací seskupené řádky.","Vrací řádky seřazené podle sloupce.","Vrací řádky s nulovými hodnotami.","C"
B0B36DBS,"Co dělá příkaz UPDATE v SQL?","Vytvoří novou tabulku.","Smaže řádky z tabulky.","Změní hodnoty v existujících řádcích.","Spojí dvě tabulky.","Vybere data z tabulky.","D"
B0B36DBS,"Jaký je účel klauzule LIMIT v SQL?","Omezí počet vrácených řádků.","Seřadí výsledky dotazu.","Seskupí řádky podle atributu.","Spojí dvě tabulky.","Filtruje řádky podle podmínky.","E"
B0B36DBS,"Co je alias v SQL?","Dočasný název pro tabulku nebo sloupec.","Trvalá změna názvu tabulky.","Nový primární klíč.","Cizí klíč v dotazu.","Index pro urychlení dotazu.","A"
B0B36DBS,"Jaký je rozdíl mezi UNION a UNION ALL?","UNION ALL odstraňuje duplicity, UNION ne.","UNION kombinuje výsledky bez duplicit, UNION ALL s duplicitami.","UNION je rychlejší než UNION ALL.","UNION ALL se používá jen s GROUP BY.","Neexistuje mezi nimi rozdíl.","B"
B0B36DBS,"Co vrací příkaz FULL OUTER JOIN?","Pouze shodné řádky z obou tabulek.","Všechny řádky z levé tabulky.","Všechny řádky z pravé tabulky.","Všechny řádky z obou tabulek včetně neodpovídajících.","Žádné řádky, pokud není shoda.","C"
B0B36DBS,"Jaký příkaz vytvoří novou tabulku?","SELECT","INSERT","UPDATE","CREATE TABLE","DELETE","D"
B0B36DBS,"Co je účelem klauzule IN v SQL?","Spojení dvou tabulek.","Seřazení výsledků.","Filtrování řádků podle seznamu hodnot.","Seskupení řádků.","Vytvoření indexu.","E"
B0B36DBS,"Co znamená vlastnost Atomicita v transakcích?","Transakce je provedena celá nebo vůbec.","Data jsou konzistentní po transakci.","Transakce je nezávislá na jiných.","Změny jsou trvalé po commitu.","Transakce může být přerušena.","A"
